Insertion,time [s],iterations,energy [Wh]
5m,300,,"0,02"
10m,600,,"0,04"
15m,900,,"0,07"
20m,1200,,"0,09"
30m,1800,,"0,14"
45m,2700,,"0,22"
1h,3600,,"0,28"
,67,100.000,
,135,200.000,
,203,300.000,
,271,400.000,
,339,500.000,
,407,600.000,
,475,700.000,
,543,800.000,
,611,900.000,
,679,1.000.000,
,747,1.100.000,
,814,1.200.000,
,882,1.300.000,
,950,1.400.000,
,1018,1.500.000,
,1086,1.600.000,
,1154,1.700.000,
,1222,1.800.000,
,1290,1.900.000,
,1358,2.000.000,
,1426,2.100.000,
,1494,2.200.000,
,1562,2.300.000,
,1629,2.400.000,
,1697,2.500.000,
,1765,2.600.000,
,1833,2.700.000,
,1901,2.800.000,
,1969,2.900.000,
,2037,3.000.000,
,2105,3.100.000,
,2173,3.200.000,
,2241,3.300.000,
,2309,3.400.000,
,2377,3.500.000,
,2444,3.600.000,
,2512,3.700.000,
,2580,3.800.000,
,2648,3.900.000,
,2716,4.000.000,
,2784,4.100.000,
,2852,4.200.000,
,2920,4.300.000,
,2988,4.400.000,
,3056,4.500.000,
,3124,4.600.000,
,3191,4.700.000,
,3259,4.800.000,
,3327,4.900.000,
,3395,5.000.000,
,3463,5.100.000,
,3531,5.200.000,
,3599,5.300.000,
,3667,5.400.000,