Quick,time [s],iterations,energy [Wh]
5m,300,,"0,02"
10m,600,,"0,04"
15m,900,,"0,06"
20m,1200,,"0,08"
30m,1800,,"0,12"
45m,2700,,"0,19"
1h,3600,,"0,25"
,54,1.000,
,109,2.000,
,164,3.000,
,219,4.000,
,274,5.000,
,329,6.000,
,384,7.000,
,439,8.000,
,494,9.000,
,549,10.000,
,604,11.000,
,659,12.000,
,714,13.000,
,769,14.000,
,824,15.000,
,879,16.000,
,933,17.000,
,988,18.000,
,1043,19.000,
,1098,20.000,
,1153,21.000,
,1208,22.000,
,1263,23.000,
,1318,24.000,
,1373,25.000,
,1428,26.000,
,1483,27.000,
,1538,28.000,
,1593,29.000,
,1648,30.000,
,1703,31.000,
,1758,32.000,
,1813,33.000,
,1868,34.000,
,1923,35.000,
,1977,36.000,
,2032,37.000,
,2087,38.000,
,2142,39.000,
,2197,40.000,
,2252,41.000,
,2307,42.000,
,2362,43.000,
,2417,44.000,
,2472,45.000,
,2527,46.000,
,2582,47.000,
,2637,48.000,
,2692,49.000,
,2747,50.000,
,2802,51.000,
,2857,52.000,
,2912,53.000,
,2967,54.000,
,3022,55.000,
,3076,56.000,
,3131,57.000,
,3186,58.000,
,3241,59.000,
,3296,60.000,
,3351,61.000,
,3406,62.000,
,3461,63.000,
,3516,64.000,
,3571,65.000,
,3626,66.000,